business_name,yelp_rating,yelp_price,yelp_category,yelp_review_count,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
ALI BABA'S CAVE RESTAURANT,3.5,$,Fast Food,475,94,37.760164,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.760164, -122.421334)",+14155863054,2266_20160316,2266,799 Valencia St,2016-03-16 00:00:00,Inadequate and inaccessible handwashing facilities,2266_20160316_103119,-122.421334,CA,94110
ALL STATES BEST FOODS,4.5,$$,Fruits & Veggies,21,100,37.759913,Routine - Unscheduled,San Francisco,,"(37.759913, -122.397589)",,7366_20150604,7366,1607 20th St,2015-06-04 00:00:00,,,-122.397589,CA,94107
ALPHA MARKET,3.5,$$,Grocery,49,89,37.765007,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.765007, -122.449777)",+14155568910,2880_20150903,2880,960 COLE St,2015-09-03 00:00:00,Inadequate food safety knowledge or lack of certified food safety manager,2880_20150903_103116,-122.449777,CA,94117
AMASIA HIDE'S SUSHI BAR,4.0,$$,Sushi Bars,295,100,37.766774,Routine - Unscheduled,San Francisco,,"(37.766774, -122.433306)",,1280_20140613,1280,149 NOE St,2014-06-13 00:00:00,,,-122.433306,CA,94114
AMERICANA GRILL & FOUNTAIN,3.0,$$,Italian,230,92,37.775806,Routine - Unscheduled,San Francisco,Low Risk,"(37.775806, -122.496608)",,2505_20160222,2505,3532 BALBOA St,2016-02-22 00:00:00,Unclean nonfood contact surfaces,2505_20160222_103142,-122.496608,CA,94121
AMICI'S EAST COAST PIZZERIA,3.0,$$,Italian,568,93,37.777803,Routine - Unscheduled,San Francisco,High Risk,"(37.777803, -122.392489)",,10127_20160802,10127,216 KING STREET,2016-08-02 00:00:00,Unclean or unsanitary food contact surfaces,10127_20160802_103109,-122.392489,CA,94107
ANANDA FUARA,4.0,$$,Vegetarian,900,66,37.777824,Routine - Unscheduled,San Francisco,High Risk,"(37.777824, -122.415969)",,2561_20160211,2561,1298 MARKET St,2016-02-11 00:00:00,Unclean hands or improper use of gloves,2561_20160211_103102,-122.415969,CA,94102
ANCHOR OYSTER BAR INC.,4.0,$$,Seafood,1443,93,37.759613,Routine - Unscheduled,San Francisco,High Risk,"(37.759613, -122.434817)",+14155433990,1294_20170106,1294,579 Castro St,2017-01-06 00:00:00,Unclean hands or improper use of gloves,1294_20170106_103102,-122.434817,CA,94114
ANDERSEN BAKERY,3.5,$,Bakeries,210,94,37.785457,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.785457, -122.430317)",+14155565712,642_20160617,642,1737 POST St,2016-06-17 00:00:00,Inadequate and inaccessible handwashing facilities,642_20160617_103119,-122.430317,CA,94115
ANGELINA'S DELI-CAFE & CATERING,4.0,$$,Delis,284,83,37.784038,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.784038, -122.481982)",,826_20160523,826,6000 CALIFORNIA St,2016-05-23 00:00:00,Foods not protected from contamination,826_20160523_103133,-122.481982,CA,94121
ANH HONG PHU-NHUAN RESTAURANT,3.5,$$,Vietnamese,324,73,37.786354,Routine - Unscheduled,San Francisco,Low Risk,"(37.786354, -122.416628)",,2109_20150528,2109,808 GEARY St,2015-05-28 00:00:00,Food safety certificate or food handler card not available,2109_20150528_103157,-122.416628,CA,94109
